22:22:10.586: <- 059904 18EA3A00 14F001
22:22:10.598: -> 065305 1CFF193A 419F001702000000
22:22:10.628: -> 130306 09FD023A FF030354F4FAFFFF
22:22:10.628: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.629: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.629: -> 130306 09FD023A FF03039EF4FAFFFF
22:22:10.630: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.630: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.631: -> 130306 09FD023A FF0303F400FAFFFF
22:22:10.631: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.632: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.632: -> 130306 09FD023A FF030336F5FAFFFF
22:22:10.633: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.633: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.634: -> 130306 09FD023A FF0303B000FAFFFF
22:22:10.634: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.635: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.636: -> 065305 1CFF193A 419F001702000000
22:22:10.636: -> 130306 09FD023A FF0303C400FAFFFF
22:22:10.637: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.637: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.638: -> 130306 09FD023A FF0303E4F4FAFFFF
22:22:10.646: <- 126208 19ED3A00 0080FF01FFFFFFFFFFFF020187000304
22:22:10.647: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.647: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.648: -> 130306 09FD023A FF0303AE00FAFFFF
22:22:10.653: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.653: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.654: -> 130306 09FD023A FF03038B00FAFFFF
22:22:10.654: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.655: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.655: -> 130306 09FD023A FF0303B300FAFFFF
22:22:10.655: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.656: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.657: -> 065305 1CFF193A 419F001702000000
22:22:10.657: -> 130306 09FD023A FF030327F4FAFFFF
22:22:10.657: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.658: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.658: -> 130306 09FD023A FF03034BF4FAFFFF
22:22:10.659: -> 127250 09F1123A FF0000FF7FFF7FFD
